Loaded 1 remote nodes
Node JamesBridges initialized on IP 10.90.74.12
Configuration: threads = 10, eventsPerThread = 500, remoteSendPercent = 25%
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 726
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 728
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 730
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 732
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 734
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 736
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 738
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 740
Thread-4 LOCAL: Event from JamesBridges to JamesBridges with timestamp 742
Thread-4 SENT: Event from JamesBridges to BraileySharpe with timestamp 744
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 215
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 191
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 227
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 83
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 239
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 113
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 182
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 98
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 193
Thread-5 LOCAL: Event from JamesBridges to JamesBridges with timestamp 758
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 646
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 762
Thread-0 LOCAL: Event from JamesBridges to JamesBridges with timestamp 764
Thread-0 SENT: Event from JamesBridges to BraileySharpe with timestamp 766
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 260
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 109
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 130
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 91
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 126
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 97
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 176
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 138
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 187
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 776
RECEIVED: Event from BraileySharpe to JamesBridges with timestamp 174
Thread-9 LOCAL: Event from JamesBridges to JamesBridges with timestamp 778
